Task,Architecture,MI,CC,Time,Score
1,1_SingleAgent,69.57,4.00,531.770129,0.2838
1,2_MultiAgent,69.57,4.00,538.420252,0.2838
2,1_SingleAgent,62.78,5.00,0.019712,0.6483
2,2_MultiAgent,62.78,5.00,0.019848,0.6483
3,1_SingleAgent,73.95,3.00,0.027499,0.7218
3,2_MultiAgent,72.92,5.00,0.023196,0.6788
4,1_SingleAgent,63.56,3.00,0.159390,0.5416
4,2_MultiAgent,68.09,3.00,0.156769,0.5594
5,1_SingleAgent,80.65,2.00,0.005419,0.7613
5,2_MultiAgent,80.65,2.00,0.014884,0.7613
6,1_SingleAgent,69.96,4.00,0.010942,0.6399
6,2_MultiAgent,69.96,4.00,0.006220,0.6399
7,1_SingleAgent,76.55,2.00,0.000003,0.7531
7,2_MultiAgent,74.17,2.00,0.000002,0.7483
8,1_SingleAgent,71.29,3.00,0.000011,0.6759
8,2_MultiAgent,67.20,4.00,0.000002,0.6344
17,1_SingleAgent,81.99,1.00,0.000003,0.9640
17,2_MultiAgent,81.99,1.00,0.000002,0.9640
18,1_SingleAgent,67.57,3.00,0.000003,0.6685
18,2_MultiAgent,65.67,3.00,0.000002,0.6647
19,1_SingleAgent,100.00,1.00,0.000003,1.0000
19,2_MultiAgent,100.00,2.00,0.000003,0.8000
20,1_SingleAgent,57.94,7.00,0.007359,0.5730
20,2_MultiAgent,60.98,6.00,0.006748,0.5886
